year,iso_week,disease_raw,disease_bucket,case_count,source_pdf,page
2024,33,KN/RIC/2024/33/2000 | Karnataka | Raichur | Chikungunya | 23 | 0 | 12-08-2024 | 13-08-2024 | 33rd 2024.pdf | 12,dengue_malaria,2024,33rd 2024.pdf,12
2024,33,KN/VIJ/2024/33/2001 | Karnataka | Vijayapura | Cholera | 30 | 0 | 12-08-2024 | 13-08-2024 | 33rd 2024.pdf | 12,lepto_cholera,2024,33rd 2024.pdf,12
2023,34,"KN/KLB/2024/34/2060 | Karnataka | Kalaburagi | Acute
Diarrheal
Disease | 23 | 0 | 21-08-2024 | Under
Control | Cases wer",lepto_cholera,2060,34th 2023.pdf,9
2023,34,"KN/RIC/2024/34/2061 | Karnataka | Raichur | Dengue | 31 | 0 | 20-08-2024 | Under
Control | Cases were reported from Heal",dengue_malaria,2061,34th 2023.pdf,9
2023,34,"KN/TUM/2024/34/2063 | Karnataka | Tumakuru | Food
Poisoning | 21 | 0 | 20-08-2024 | Under
Control | Cases were reported ",other,2063,34th 2023.pdf,10
2024,34,"KN/KLB/2024/34/2060 | Karnataka | Kalaburagi | Acute
Diarrheal
Disease | 23 | 0 | 21-08-2024 | Under
Control | Cases wer",lepto_cholera,2060,34th 2024.pdf,9
2024,34,"KN/RIC/2024/34/2061 | Karnataka | Raichur | Dengue | 31 | 0 | 20-08-2024 | Under
Control | Cases were reported from Heal",dengue_malaria,2061,34th 2024.pdf,9
2024,34,"KN/TUM/2024/34/2063 | Karnataka | Tumakuru | Food
Poisoning | 21 | 0 | 20-08-2024 | Under
Control | Cases were reported ",other,2063,34th 2024.pdf,10
2023,35,"Bangalore lab, which was negative for any | 35th 2023.pdf | 8",other,2023,35th 2023.pdf,8
2023,35,"KN/DAV/2024/35/2140 | Karnataka | Davangere | Acute
Diarrheal
Disease | 86 | 0 | 29-08-2024 | 31-08-2024 | Under
Surveil",lepto_cholera,2140,35th 2023.pdf,8
2023,35,"KN/DAV/2024/35/2141 | Karnataka | Davangere | Acute
Diarrheal
Disease | 30 | 0 | 24-08-2024 | 26-08-2024 | Under
Control",lepto_cholera,2141,35th 2023.pdf,8
2023,35,"KN/MND/2024/35/2143 | Karnataka | Mandya | Acute
Diarrheal
Disease | 27 | 1 | 27-08-2024 | Under
Surveillance | Cases we",lepto_cholera,2143,35th 2023.pdf,9
2023,35,"KN/TUM/2024/35/2144 | Karnataka | Tumakuru | Acute
Diarrheal
Disease | 41 | 1 | 27-08-2024 | Under
Surveillance | Cases ",lepto_cholera,2144,35th 2023.pdf,9
2024,35,"Bangalore lab, which was negative for any | 35th 2024.pdf | 8",other,2024,35th 2024.pdf,8
